"user_id","user_first_name","context_date","average_message_length"
"1688411534","Anny","2024-05-14","119"
"1703431785","Lucas","2024-05-14","28"
"1703431785","Lucas","2024-05-13","14"
"1688411534","Anny","2024-05-13","3"
